    V   J   Energy(K)   log(N/g)
    7     3   3.561473E+004   2.512528E+001 
    4    15   3.578419E+004   2.612162E+001 
    6     9   3.599047E+004   2.538578E+001 
    7     4   3.605189E+004   2.511488E+001 
    1    22   3.613139E+004   2.525098E+001 
    0    24   3.617459E+004   2.492777E+001 
    2    20   3.629979E+004   2.543778E+001 
    7     5   3.658964E+004   2.506268E+001 
    3    18   3.668984E+004   2.565198E+001 
    5    13   3.682003E+004   2.561062E+001 
    6    10   3.701302E+004   2.531120E+001 
    7     6   3.722192E+004   2.498313E+001 
    4    16   3.730808E+004   2.567632E+001 
    7     7   3.794263E+004   2.498886E+001 
    6    11   3.810113E+004   2.531370E+001 
    1    23   3.813447E+004   2.504211E+001 
    5    14   3.815979E+004   2.558849E+001 
    2    21   3.816475E+004   2.525517E+001 
    0    25   3.830484E+004   2.483015E+001 
    3    19   3.840503E+004   2.408246E+001 
    8     0   3.860553E+004   2.488723E+001 
    8     1   3.870915E+004   2.487905E+001 
    7     8   3.874438E+004   2.425224E+001 
    4    17   3.886111E+004   2.555655E+001 
    8     2   3.891514E+004   2.486165E+001 
    8     3   3.922109E+004   2.468606E+001 
