#     Vn (<jump)        Vi (<jump)        Vn (>jump)        Vi (>jump)  
    4.474208E+06      1.007317E+06      1.304115E+06      1.007317E+06
    4.471554E+06      1.006638E+06      1.304335E+06      1.006638E+06
    4.468871E+06      1.005953E+06      1.304562E+06      1.005953E+06
    4.466158E+06      1.005264E+06      1.304796E+06      1.005264E+06
    4.463415E+06      1.004569E+06      1.305037E+06      1.004569E+06
    4.461674E+06      1.004130E+06      1.305193E+06      1.004130E+06
    4.459921E+06      1.003689E+06      1.305352E+06      1.003689E+06
    4.458154E+06      1.003245E+06      1.305514E+06      1.003245E+06
    4.456375E+06      1.002800E+06      1.305679E+06      1.002800E+06
    4.454583E+06      1.002353E+06      1.305847E+06      1.002353E+06
    4.452778E+06      1.001903E+06      1.306019E+06      1.001903E+06
    4.450959E+06      1.001451E+06      1.306194E+06      1.001451E+06
    4.449127E+06      1.000997E+06      1.306372E+06      1.000997E+06
    4.447281E+06      1.000541E+06      1.306554E+06      1.000541E+06
    4.445420E+06      1.000082E+06      1.306739E+06      1.000082E+06
    4.443546E+06      9.996216E+05      1.306928E+06      9.996216E+05
    4.441656E+06      9.991585E+05      1.307121E+06      9.991585E+05
    4.439753E+06      9.986931E+05      1.307317E+06      9.986931E+05
    4.437834E+06      9.982253E+05      1.307517E+06      9.982253E+05
    4.435900E+06      9.977550E+05      1.307721E+06      9.977550E+05
    4.433951E+06      9.972823E+05      1.307929E+06      9.972823E+05
    4.431986E+06      9.968072E+05      1.308141E+06      9.968072E+05
    4.430005E+06      9.963295E+05      1.308357E+06      9.963295E+05
    4.428008E+06      9.958492E+05      1.308576E+06      9.958492E+05
    4.425995E+06      9.953664E+05      1.308801E+06      9.953664E+05
    4.423965E+06      9.948810E+05      1.309029E+06      9.948810E+05
    4.421918E+06      9.943929E+05      1.309262E+06      9.943929E+05
    4.419855E+06      9.939022E+05      1.309499E+06      9.939022E+05
    4.417774E+06      9.934087E+05      1.309740E+06      9.934087E+05
    4.415675E+06      9.929124E+05      1.309987E+06      9.929124E+05
    4.413558E+06      9.924133E+05      1.310237E+06      9.924133E+05
    4.411423E+06      9.919114E+05      1.310493E+06      9.919114E+05
    4.409269E+06      9.914066E+05      1.310753E+06      9.914066E+05
    4.407097E+06      9.908989E+05      1.311019E+06      9.908989E+05
    4.404906E+06      9.903882E+05      1.311289E+06      9.903882E+05
    4.402695E+06      9.898745E+05      1.311564E+06      9.898745E+05
    4.400464E+06      9.893578E+05      1.311845E+06      9.893578E+05
    4.398214E+06      9.888380E+05      1.312131E+06      9.888380E+05
    4.395943E+06      9.883151E+05      1.312422E+06      9.883151E+05
    4.393651E+06      9.877889E+05      1.312719E+06      9.877889E+05
    4.391339E+06      9.872596E+05      1.313021E+06      9.872596E+05
    4.389005E+06      9.867270E+05      1.313329E+06      9.867270E+05
    4.386649E+06      9.861911E+05      1.313643E+06      9.861911E+05
    4.384271E+06      9.856518E+05      1.313963E+06      9.856518E+05
