          distance              timeN                 Tn               Mass          Mass_cons         Moment_kin         Moment_the         Moment_mag         Moment_vis             Moment           Mom_cons         Energy_kin         Energy_the         Energy_int         Energy_mag         Energy_vis             Energy         Energ_gain         Energ_cons          Energ_pho          magn_corr 
  1.086894214E-035   6.888472660E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.067393436E-063   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   5.336967182E-057   1.492119064E+000   7.817226998E-057   5.239010202E-057   1.094195658E-003   0.000000000E+000 
  1.153520432E-035   7.310733516E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   1.003498582E-063   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   5.017492909E-057   1.492119064E+000   8.296422096E-057   5.560160912E-057   1.094195658E-003   0.000000000E+000 
  1.220146650E-035   7.732994372E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   9.396026586E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   4.698013293E-057   1.492119064E+000   8.775617193E-057   5.881311622E-057   1.094195658E-003   0.000000000E+000 
  1.286772868E-035   8.155255227E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   8.757059281E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   4.378529641E-057   1.492119064E+000   9.254812290E-057   6.202462332E-057   1.094195658E-003   0.000000000E+000 
  1.353399086E-035   8.577516083E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   8.118084109E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   4.059042055E-057   1.492119064E+000   9.734007387E-057   6.523613042E-057   1.094195658E-003   0.000000000E+000 
  1.398254132E-035   8.861796515E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   7.687922701E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   3.843961351E-057   1.492119064E+000   1.005661790E-056   6.739822671E-057   1.094195658E-003   0.000000000E+000 
  1.443109178E-035   9.146076948E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   7.257765365E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   3.628882682E-057   1.492119064E+000   1.037922840E-056   6.956032299E-057   1.094195658E-003   0.000000000E+000 
  1.487964224E-035   9.430357380E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   6.827604520E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   3.413802260E-057   1.492119064E+000   1.070183891E-056   7.172241928E-057   1.094195658E-003   0.000000000E+000 
  1.532819270E-035   9.714637812E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   6.397436256E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   3.198718128E-057   1.492119064E+000   1.102444942E-056   7.388451556E-057   1.094195658E-003   0.000000000E+000 
  1.577674316E-035   9.998918244E-050   4.575000000E+001   1.173068679E-013   0.000000000E+000   5.865343394E-007   3.799191167E-011   2.486795986E-009   5.967263201E-064   5.890591273E-007   0.000000000E+000   1.466335848E+000   4.748988959E-004   4.403567341E-004   2.486795986E-002   2.983631601E-057   1.492119064E+000   1.134705993E-056   7.604661184E-057   1.094195658E-003   0.000000000E+000 
