          distance              timeN                 Tn                 Ti                 Te         Total_cool         molec_cool              E(H2)            E(13CO)              E(OH)             E(NH3)            E(r,CO)            E(v,CO)              E(CO)         E(r,o-H2O)         E(r,p-H2O)           E(v,H2O)             E(H2O)           B_photel             Lymana              E(C+)             E(Si+)               E(H)               E(C)              E(Si)               E(O)              E(S+)              E(N+)             E(Fe+) 
  3.235785256E-036   2.050762436E-050   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057197385E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.946468543E-022   7.781802735E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543355E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  3.753373871E-036   2.378797582E-050   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057197385E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.946468543E-022   7.781802735E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543355E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  4.717214524E-036   2.989656477E-050   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057197385E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.946468543E-022   7.781802735E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543355E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  5.681055176E-036   3.600515371E-050   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057197385E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.946468543E-022   7.781802735E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543355E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  6.644895828E-036   4.211374266E-050   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057197385E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.946468543E-022   7.781802735E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543355E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  7.608736480E-036   4.822233160E-050   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057197385E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.946468543E-022   7.781802735E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543355E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  8.572577132E-036   5.433092054E-050   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057197385E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.946468543E-022   7.781802735E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543355E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  9.536417785E-036   6.043950949E-050   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057197385E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.946468543E-022   7.781802735E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543355E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  1.020267996E-035   6.466211804E-050   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057197385E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.946468543E-022   7.781802735E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543355E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
  1.086894214E-035   6.888472660E-050   4.575000000E+001   4.575000000E+001   4.575000000E+001   1.057197385E-021   4.285197216E-022  -3.011887978E-024   4.707656414E-024   6.747985507E-026   1.212409922E-028   4.236890773E-022   7.015554197E-059   4.236890773E-022   3.620197477E-026   1.918483192E-026   7.227361836E-053   5.538680669E-026   3.539878660E-022   0.000000000E+000   2.946468543E-022   7.781802735E-025   0.000000000E+000   2.850689457E-022   1.167745812E-023   8.572543355E-023   4.146373541E-224   2.203955397E-030   0.000000000E+000 
