          distance              timeN                 Tn           C+(158m)        C+(2324.7A)        C+(2323.5A)        C+(2328.1A)        C+(2326.9A)        C+(2325.4A)         Si+(34.8m)         H(1215.7A)         H(1025.7A)          C(609.8m)          C(370.4m)           C(9850A)           C(9824A)         Si(129.7m)          Si(68.5m)           O(63.2m)          O(145.3m)           O(6300A)           O(6363A)          S+(6731A)          S+(6716A)         N+(205.3m)         N+(121.8m)          N+(6527A)          N+(6548A)          N+(6583A)           N(5200A)           N(5197A)           S(25.2m) 
  1.038627560E-001   9.403671828E-016   4.575000000E+001   2.435925604E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   6.440591555E-027   0.000000000E+000   0.000000000E+000   5.508650295E-025   1.805265390E-024   0.000000000E+000   0.000000000E+000   9.292463209E-026   3.591024476E-027   6.910604263E-025   1.747065634E-026   3.001780707E-039   9.610872317E-040   2.208778142E-226   1.218248266E-226   1.689051488E-032   1.325452702E-033   6.409037425E-050   1.206083355E-046   3.551284068E-046   1.390259957E-287   7.042955125E-288   2.618977154E-030 
  1.137777291E-001   1.030136756E-015   4.575000000E+001   2.668464842E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   7.055425707E-027   0.000000000E+000   0.000000000E+000   6.034519123E-025   1.977600307E-024   0.000000000E+000   0.000000000E+000   1.017954380E-025   3.933832194E-027   7.570306943E-025   1.913844664E-026   3.288337816E-039   1.052834899E-039   2.419633344E-226   1.334545136E-226   1.850292350E-032   1.451983562E-033   7.020859346E-050   1.321218934E-046   3.890298072E-046   1.522977472E-287   7.715292333E-288   2.868990927E-030 
  1.236927022E-001   1.119906330E-015   4.575000000E+001   2.901004081E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   7.670259859E-027   0.000000000E+000   0.000000000E+000   6.560387951E-025   2.149935225E-024   0.000000000E+000   0.000000000E+000   1.106662438E-025   4.276639911E-027   8.230009624E-025   2.080623695E-026   3.574894925E-039   1.144582567E-039   2.630488547E-226   1.450842006E-226   2.011533213E-032   1.578514422E-033   7.632681266E-050   1.436354513E-046   4.229312075E-046   1.655694986E-287   8.387629541E-288   3.119004701E-030 
  1.336076753E-001   1.209675904E-015   4.575000000E+001   3.133543319E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   8.285094011E-027   0.000000000E+000   0.000000000E+000   7.086256779E-025   2.322270143E-024   0.000000000E+000   0.000000000E+000   1.195370497E-025   4.619447628E-027   8.889712304E-025   2.247402726E-026   3.861452034E-039   1.236330235E-039   2.841343749E-226   1.567138876E-226   2.172774076E-032   1.705045282E-033   8.244503186E-050   1.551490092E-046   4.568326079E-046   1.788412500E-287   9.059966749E-288   3.369018474E-030 
  1.435226484E-001   1.299445477E-015   4.575000000E+001   3.366082557E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   8.899928164E-027   0.000000000E+000   0.000000000E+000   7.612125607E-025   2.494605060E-024   0.000000000E+000   0.000000000E+000   1.284078556E-025   4.962255346E-027   9.549414985E-025   2.414181757E-026   4.148009143E-039   1.328077902E-039   3.052198952E-226   1.683435746E-226   2.334014939E-032   1.831576142E-033   8.856325106E-050   1.666625671E-046   4.907340083E-046   1.921130015E-287   9.732303957E-288   3.619032248E-030 
  1.599119998E-001   1.447833684E-015   4.575000000E+001   3.750467591E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   9.916242865E-027   0.000000000E+000   0.000000000E+000   8.481381519E-025   2.779472955E-024   0.000000000E+000   0.000000000E+000   1.430712089E-025   5.528913073E-027   1.063989691E-024   2.689865826E-026   4.621685178E-039   1.479735879E-039   3.400740492E-226   1.875673309E-226   2.600544472E-032   2.040730387E-033   9.867660618E-050   1.856943631E-046   5.467726839E-046   2.140510738E-287   1.084367063E-287   4.032302514E-030 
  1.763013511E-001   1.596221891E-015   4.575000000E+001   4.134852625E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.093255757E-026   0.000000000E+000   0.000000000E+000   9.350637430E-025   3.064340849E-024   0.000000000E+000   0.000000000E+000   1.577345623E-025   6.095570799E-027   1.173037884E-024   2.965549895E-026   5.095361212E-039   1.631393855E-039   3.749282032E-226   2.067910871E-226   2.867074005E-032   2.249884633E-033   1.087899613E-049   2.047261591E-046   6.028113595E-046   2.359891462E-287   1.195503731E-287   4.445572780E-030 
  1.926907024E-001   1.744610098E-015   4.575000000E+001   4.519237659E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.194887227E-026   0.000000000E+000   0.000000000E+000   1.021989334E-024   3.349208744E-024   0.000000000E+000   0.000000000E+000   1.723979156E-025   6.662228526E-027   1.282086078E-024   3.241233965E-026   5.569037246E-039   1.783051832E-039   4.097823572E-226   2.260148434E-226   3.133603538E-032   2.459038878E-033   1.189033164E-049   2.237579551E-046   6.588500351E-046   2.579272185E-287   1.306640399E-287   4.858843046E-030 
  2.090800537E-001   1.892998305E-015   4.575000000E+001   4.903622693E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.296518697E-026   0.000000000E+000   0.000000000E+000   1.108914925E-024   3.634076638E-024   0.000000000E+000   0.000000000E+000   1.870612690E-025   7.228886253E-027   1.391134271E-024   3.516918034E-026   6.042713280E-039   1.934709808E-039   4.446365112E-226   2.452385997E-226   3.400133071E-032   2.668193124E-033   1.290166716E-049   2.427897511E-046   7.148887107E-046   2.798652908E-287   1.417777067E-287   5.272113312E-030 
  2.254694051E-001   2.041386512E-015   4.575000000E+001   5.288007727E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.398150167E-026   0.000000000E+000   0.000000000E+000   1.195840516E-024   3.918944533E-024   0.000000000E+000   0.000000000E+000   2.017246223E-025   7.795543980E-027   1.500182464E-024   3.792602103E-026   6.516389314E-039   2.086367785E-039   4.794906651E-226   2.644623559E-226   3.666662604E-032   2.877347369E-033   1.391300267E-049   2.618215471E-046   7.709273863E-046   3.018033632E-287   1.528913734E-287   5.685383578E-030 
  2.418587564E-001   2.189774719E-015   4.575000000E+001   5.672392761E-024   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   0.000000000E+000   1.499781637E-026   0.000000000E+000   0.000000000E+000   1.282766108E-024   4.203812428E-024   0.000000000E+000   0.000000000E+000   2.163879757E-025   8.362201707E-027   1.609230657E-024   4.068286173E-026   6.990065348E-039   2.238025762E-039   5.143448191E-226   2.836861122E-226   3.933192136E-032   3.086501615E-033   1.492433818E-049   2.808533431E-046   8.269660619E-046   3.237414355E-287   1.640050402E-287   6.098653844E-030 
