    V   J   Energy(K)   log(N/g)
    0    21   2.976661E+004   2.801838E+001 
    5     7   3.006431E+004   2.734420E+001 
    3    14   3.009785E+004   2.850663E+001 
    4    11   3.013990E+004   2.795222E+001 
    1    19   3.015462E+004   2.820989E+001 
    2    17   3.079235E+004   2.777281E+001 
    6     0   3.094320E+004   2.733066E+001 
    5     8   3.099552E+004   2.724981E+001 
    6     1   3.106412E+004   2.727071E+001 
    6     2   3.130464E+004   2.711335E+001 
    4    12   3.146651E+004   2.787384E+001 
    6     3   3.166233E+004   2.714258E+001 
    3    15   3.169026E+004   2.824226E+001 
    0    22   3.190031E+004   2.724149E+001 
    5     9   3.201575E+004   2.722788E+001 
    6     4   3.213322E+004   2.690538E+001 
    1    20   3.213454E+004   2.755285E+001 
    2    18   3.260639E+004   2.724857E+001 
    6     5   3.271272E+004   2.801249E+001 
    4    13   3.285516E+004   2.779084E+001 
    5    10   3.311646E+004   2.721388E+001 
    3    16   3.332489E+004   2.783269E+001 
    6     6   3.339496E+004   2.671675E+001 
    0    23   3.403759E+004   2.723676E+001 
    1    21   3.412953E+004   2.736322E+001 
    6     7   3.417362E+004   2.673693E+001 
    5    11   3.428978E+004   2.711710E+001 
    4    14   3.429681E+004   2.758247E+001 
    2    19   3.444505E+004   2.466878E+001 
    7     0   3.494622E+004   2.760076E+001 
    3    17   3.499413E+004   2.734714E+001 
    6     8   3.504117E+004   2.671450E+001 
    7     1   3.505878E+004   2.655477E+001 
    7     2   3.528236E+004   2.653230E+001 
    5    12   3.552731E+004   2.715078E+001 
    7     3   3.561473E+004   2.647321E+001 
    4    15   3.578419E+004   2.747383E+001 
    6     9   3.599047E+004   2.673451E+001 
    7     4   3.605189E+004   2.646624E+001 
    1    22   3.613139E+004   2.660714E+001 
    0    24   3.617459E+004   2.594492E+001 
    2    20   3.629979E+004   2.679094E+001 
    7     5   3.658964E+004   2.642003E+001 
    3    18   3.668984E+004   2.700999E+001 
    5    13   3.682003E+004   2.696649E+001 
    6    10   3.701302E+004   2.667054E+001 
    7     6   3.722192E+004   2.633382E+001 
    4    16   3.730808E+004   2.702903E+001 
    7     7   3.794263E+004   2.635408E+001 
    6    11   3.810113E+004   2.667788E+001 
    1    23   3.813447E+004   2.640678E+001 
    5    14   3.815979E+004   2.695313E+001 
    2    21   3.816475E+004   2.662088E+001 
    0    25   3.830484E+004   2.619799E+001 
    3    19   3.840503E+004   2.488107E+001 
    8     0   3.860553E+004   2.625203E+001 
    8     1   3.870915E+004   2.624141E+001 
    7     8   3.874438E+004   2.526156E+001 
    4    17   3.886111E+004   2.692530E+001 
    8     2   3.891514E+004   2.622000E+001 
    8     3   3.922109E+004   2.600048E+001 
